course,accuracy,loss,auc,model,stage
DDD2014J,0.5235456824302673,1.1582976579666138,0.7490746974945068,CNN,10
DDD2014J,0.4930747922437673,2.3387056731604536,0.671918213233181,KNN,10
DDD2014J,0.5346260387811634,1.0996541952119918,0.6732426383715667,FOR,10
DDD2014J,0.4986149584487535,1.3619794519828288,0.6514097891767111,XGBoost,10
DDD2014J,0.5512465373961218,1.0983404275816107,0.6935092338496851,SVM,10
AAA2014J,0.6438356041908264,1.082628846168518,0.8396509885787964,CNN,10
AAA2014J,0.6575342465753424,2.295209749928238,0.610445311532268,KNN,10
AAA2014J,0.5753424657534246,1.1350102855473938,0.5358571782484826,FOR,10
AAA2014J,0.6301369863013698,1.348296484126279,0.6206676576241793,XGBoost,10
AAA2014J,0.6301369863013698,1.0535794953654136,0.5019013997274867,SVM,10
BBB2013J,0.5,1.1875584125518799,0.7392054796218872,CNN,10
BBB2013J,0.4799107142857143,2.416747507990582,0.5951321440008456,KNN,10
BBB2013J,0.4732142857142857,1.2147531585009366,0.624215032473269,FOR,10
BBB2013J,0.4799107142857143,1.3683619294453682,0.6092918330951276,XGBoost,10
BBB2013J,0.4799107142857143,1.199341988172134,0.6176050412048474,SVM,10
CCC2014B,0.48969072103500366,1.2219159603118896,0.7473241686820984,CNN,10
CCC2014B,0.5077319587628866,1.544175085050686,0.6383257587238084,KNN,10
CCC2014B,0.4896907216494845,1.1615624642643696,0.6547408720777516,FOR,10
CCC2014B,0.5051546391752577,1.3615239922259705,0.686924961104039,XGBoost,10
CCC2014B,0.4793814432989691,1.179222944323824,0.6518018225535956,SVM,10
CCC2014J,0.4620000123977661,1.2093740701675415,0.7274786829948425,CNN,10
CCC2014J,0.446,1.8886295308503898,0.6188600244337715,KNN,10
CCC2014J,0.452,1.194429357042187,0.6463835063653739,FOR,10
CCC2014J,0.45,1.3672863019191166,0.6172499718113488,XGBoost,10
CCC2014J,0.48,1.1998566038447263,0.6402365850877954,SVM,10
DDD2013J,0.5283505320549011,1.2266703844070435,0.7513296604156494,CNN,10
DDD2013J,0.5,2.8495796290427995,0.5988342080420891,KNN,10
DDD2013J,0.4948453608247423,1.1086133708526145,0.6770458493010137,FOR,10
DDD2013J,0.5077319587628866,1.362861210556554,0.6105094958897863,XGBoost,10
DDD2013J,0.5103092783505154,1.1336043743523077,0.6578930508966888,SVM,10
DDD2014B,0.4471544623374939,1.3166675567626953,0.6587100625038147,CNN,10
DDD2014B,0.4268292682926829,2.022348440245044,0.633951283504855,KNN,10
DDD2014B,0.45528455284552843,1.200685007482306,0.6570806941900692,FOR,10
DDD2014B,0.45121951219512196,1.3682306476127248,0.6375900609531562,XGBoost,10
DDD2014B,0.44715447154471544,1.2279134938328897,0.6371870730129658,SVM,10
EEE2014B,0.42446044087409973,1.2771425247192383,0.6735244989395142,CNN,10
EEE2014B,0.5035971223021583,2.0774018092987827,0.6822002245874427,KNN,10
EEE2014B,0.49640287769784175,1.1896818508572637,0.6898409443522225,FOR,10
EEE2014B,0.460431654676259,1.3652535509161403,0.6584577424802988,XGBoost,10
EEE2014B,0.4892086330935252,1.158586770226045,0.7121010498830048,SVM,10
EEE2014J,0.4831932783126831,1.3233643770217896,0.7014864683151245,CNN,10
EEE2014J,0.46638655462184875,2.086592523793,0.620929904438103,KNN,10
EEE2014J,0.48739495798319327,1.227984625737268,0.647844961984774,FOR,10
EEE2014J,0.48739495798319327,1.3662747462441278,0.6480494642779934,XGBoost,10
EEE2014J,0.5126050420168067,1.1842436754048544,0.6663674692934755,SVM,10
FFF2013B,0.495356023311615,1.539320945739746,0.6960752606391907,CNN,10
FFF2013B,0.4458204334365325,1.8074302025081663,0.6386929959189495,KNN,10
FFF2013B,0.5108359133126935,1.1139354171867688,0.7176328673139488,FOR,10
FFF2013B,0.44891640866873067,1.3656604322608226,0.6749060423270721,XGBoost,10
FFF2013B,0.5108359133126935,1.1213085718400173,0.7066625881025637,SVM,10
FFF2013J,0.4660831391811371,1.236404299736023,0.729354739189148,CNN,10
